millis,voltage0,voltage1,voltage2,voltage3
999, 0.59, 1.13, 1.25, 1.41
1998, 0.59, 1.03, 1.16, 1.28
2999, 0.89, 1.19, 1.26, 1.32
3999, 0.90, 1.20, 1.27, 1.33
5000, 1.10, 1.32, 1.34, 1.37
5999, 1.19, 1.38, 1.40, 1.42
6999, 1.40, 1.51, 1.49, 1.48
7999, 1.50, 1.58, 1.54, 1.53
8999, 1.70, 1.70, 1.63, 1.61
9999, 2.01, 1.89, 1.74, 1.67
10999, 2.41, 2.16, 1.92, 1.80
11999, 2.81, 2.46, 2.14, 1.97
12999, 3.02, 2.65, 2.31, 2.12
14000, 3.02, 2.70, 2.39, 2.22
14999, 3.02, 2.65, 2.29, 2.15
16000, 3.02, 2.77, 2.48, 2.32
16998, 3.02, 2.75, 2.48, 2.34
17999, 3.02, 2.62, 2.39, 3.24
18999, 3.02, 2.69, 2.41, 3.38
19999, 3.03, 2.68, 2.27, 2.58
21000, 3.01, 2.71, 2.32, 2.35
21999, 3.02, 2.71, 2.37, 2.28
23000, 3.02, 2.71, 2.40, 2.28
23999, 3.02, 2.71, 2.39, 2.27
24999, 3.02, 2.72, 2.40, 2.26
25999, 3.02, 2.71, 2.41, 2.28
26999, 3.02, 2.71, 2.41, 2.29
28000, 3.02, 2.71, 2.39, 2.26
28999, 3.01, 2.71, 2.40, 2.26
29999, 3.02, 2.71, 2.41, 2.27
